Testcase,Passed
001,104
002,101
003,91
004,96
005,73
006,89
007,85
008,86
009,64
010,83
011,97
012,95
013,79
014,80
015,79
016,95
017,91
018,86
019,93
020,46
021,94
022,88
023,92
024,85
025,85
026,91
027,82
028,85
029,82
030,78
031,90
032,88
033,51
034,61
035,42
036,62
037,60
038,49
039,57
040,56
041,101
042,98
043,96
044,99
045,91
046,97
047,92
048,83
049,81
050,57
051,90
052,82
053,80
054,59
055,55
056,83
057,79
058,77
059,76
060,53
061,88
062,77
063,87
064,87
065,86
066,76
067,75
068,75
069,76
070,75
071,81
072,81
073,83
074,83
075,82
076,84
077,84
078,79
079,80
080,79
081,70
082,80
083,82
084,70
085,90
086,71
087,75
088,72
089,86
090,86
091,86
092,68
093,65
094,74
095,39
096,65
097,57
098,70
099,17
100,81